neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,distance,price_per_night,available_morethan_200,reviews_morethan_100,distance_morethan_15,good_neighbourhood,ln_price
78704,apartments,170,2,54,0.81,21,327,4.956967728751331,85,1,0,1,0,4.442651256490317
78703,apartments,124,2,214,2.95,2,123,1.318756470545494,62,0,1,1,0,4.127134385045092
78703,apartments,165,2,64,0.8,2,120,1.2138583258004656,82.5,0,0,1,0,4.412798293340635
78702,apartments,53,2,438,5.43,5,80,2.8519716633502075,26.5,0,1,1,0,3.2771447329921766
78704,apartments,150,2,3,0.07,1,95,3.130671873262948,75,0,0,1,0,4.31748811353631
78704,apartments,112,2,80,1.17,8,288,3.102737987469248,56,1,0,1,0,4.02535169073515
78704,apartments,176,2,70,0.96,8,0,3.27795969867301,88,0,0,1,0,4.477336814478207
78704,apartments,158,2,63,0.9,1,357,3.516343533386903,79,1,0,1,0,4.3694478524670215
78704,apartments,175,2,71,0.94,8,247,3.3696854181128346,87.5,1,0,1,0,4.471638793363569
78704,apartments,175,2,10,0.12,1,264,2.1740628925566674,87.5,1,0,1,0,4.471638793363569
78751,apartments,94,2,183,2.33,26,365,4.624762649566119,47,1,1,1,1,3.8501476017100584
78704,apartments,75,30,13,0.17,1,201,5.114738446264746,2.5,1,0,1,0,0.9162907318741551
78701,apartments,179,30,28,0.38,2,173,0.5129349977018434,5.966666666666667,0,0,1,0,1.7861884241785997
78704,apartments,159,3,84,1.14,21,311,4.9761088938734135,53,1,0,1,0,3.970291913552122
78704,apartments,59,31,28,0.36,1,0,3.8911624437711034,1.903225806451613,0,0,1,0,0.6435502394205732
78735,apartments,89,5,0,NA,1,0,7.86247538865788,17.8,0,0,1,0,2.8791984572980396
78704,apartments,94,3,19,0.25,1,228,3.7106377294866983,31.333333333333332,1,0,1,0,3.4446824936018943
78712,apartments,108,2,43,1.51,1,0,2.2320979710656412,54,0,0,1,0,3.9889840465642745
78737,apartments,135,2,9,0.25,1,262,21.505112135153354,67.5,1,0,0,0,4.212127597878484
78733,apartments,175,2,8,0.1,3,324,13.59952976758389,87.5,1,0,1,0,4.471638793363569
78702,apartments,60,2,398,5.49,5,89,1.9312821549181989,30,0,1,1,0,3.4011973816621555
78703,apartments,380,6,5,0.06,3,293,4.193661117631802,63.333333333333336,1,0,1,0,4.148411783492376
78704,apartments,86,1,59,0.79,8,293,3.0171661473791267,86,1,0,1,0,4.454347296253507
78704,apartments,168,2,70,0.94,8,208,3.102737987469248,84,1,0,1,0,4.430816798843313
78704,apartments,115,31,68,0.87,1,319,3.4504601652926787,3.7096774193548385,1,0,1,0,1.3109449238781037
78745,apartments,64,25,20,0.29,1,263,9.9597957907252,2.56,1,0,1,1,0.9400072584914712
78702,apartments,115,2,70,0.93,1,254,2.8626570608280217,57.5,1,0,1,0,4.051784947803305
78702,apartments,104,3,274,3.54,1,0,2.97373357818642,34.666666666666664,0,1,1,0,3.545778610473263
78704,apartments,85,2,111,1.49,2,143,3.0549045101028054,42.5,0,1,1,0,3.7495040759303713
78702,apartments,150,30,1,0.01,1,218,3.871327817721127,5,1,0,1,0,1.6094379124341003
